== TRUE POSITIVES (103) ==
fathom/apps/arbwatch/main.hl:500:9 | hashmap-insert | INVOKED | DislocationCompute::on_book | tob.set: TobSlot.packed String refreshed per book msg; slow leak: string anchor per set, md rate, long-lived child
fathom/apps/riskgw/main.hl:1638:9 | hashmap-insert | INVOKED | RiskGw::on_order_intent | open_orders.set: monotonic oid key per accepted order; tombstone-only (no delete) → population grows per order
fathom/apps/riskgw/main.hl:1676:17 | hashmap-insert | INVOKED | RiskGw::on_order_update | venue_orders: unbounded txid keys per ack, deliberately kept for process life (reconcile attribution), no eviction
fathom/apps/riskgw/main.hl:1683:21 | hashmap-insert | INVOKED | RiskGw::on_order_update | open_orders overwrite (__set_vid): existing key but fresh key+packed anchored per ack; slow leak: string anchor per set
fathom/apps/riskgw/main.hl:1873:9 | hashmap-insert | INVOKED | RiskGw::on_strategy_hb | strat_live.set: bounded sid keys, packed refreshed per ~5s heartbeat — steady slow leak: string anchor per set
fathom/apps/riskgw/main.hl:1934:9 | hashmap-insert | INVOKED | RiskGw::on_strategy_fleet | strat_fleet.set: bounded sid keys, fleet_str String refreshed per fleet announce; slow leak: string anchor per set
fathom/apps/riskgw/main.hl:1975:21 | hashmap-insert | LOOP | RiskGw::reap_scan | strat_live tombstone: fresh sid key String anchored per reap event (packed "" static); slow leak: string anchor per set
fathom/apps/riskgw/main.hl:2052:9 | hashmap-insert | INVOKED | RiskGw::release_open_order | open_orders tombstone in release: fresh to_string(oid) key anchored per cancel/reject; slow leak: string anchor per set
fathom/apps/riskgw/main.hl:2247:9 | hashmap-insert | INVOKED | RiskGw::record_orphan_slot | open_orders.set: fresh oid key per recorded orphan; tombstone-only map, row never removed
fathom/apps/riskgw/main.hl:2248:9 | hashmap-insert | INVOKED | RiskGw::record_orphan_slot | venue_orders.set: fresh vid key per recorded orphan; never removed → population growth
fathom/apps/riskgw/main.hl:2310:17 | hashmap-insert | LOOP | RiskGw::on_trade_recon_balances | venue_bal.set per recon snapshot row: bounded keys, String key+account anchored per set; slow leak: string anchor per set
fathom/apps/riskgw/main.hl:2352:21 | hashmap-insert | LOOP | RiskGw::recompute_reserves | cap_reserved rewrite on drift-heal: existing keys but fresh key String anchored per set; slow leak: string anchor per set
fathom/apps/riskgw/main.hl:2369:21 | hashmap-insert | LOOP | RiskGw::recompute_reserves | gross_reserved rewrite on drift-heal: fresh desk-key String anchored per set; slow leak: string anchor per set
fathom/apps/riskgw/main.hl:2503:9 | hashmap-insert | INVOKED | RiskGw::on_halt_set | halted.set: bounded desk keys, fresh key String per admin halt; slow leak: string anchor per set (rare cadence)
fathom/apps/riskgw/main.hl:2529:9 | hashmap-insert | INVOKED | RiskGw::on_mark | marks.set on HIGH-RATE md.book.signal: bounded symbol keys but key+packed anchored per message — fastest leak in file
fathom/apps/riskgw/main.hl:2648:9 | hashmap-insert | INVOKED | RiskGw::__rebalance_to | open_orders.set: monotonic oid key per rebalance; tombstone-only map (no delete) → row per order forever
fathom/apps/riskgw/main.hl:2716:9 | hashmap-insert | INVOKED | RiskGw::flat_set | flattening.set: bounded desk|symbol keys, fresh key String per arm/clear transition; slow leak: string anchor per set
fathom/apps/riskgw/main.hl:2724:9 | hashmap-insert | INVOKED | RiskGw::rebal_mark | rebalances: monotonic oid keys, comment says marker "need not be cleared" — one row per house rebalance forever
fathom/apps/riskgw/main.hl:2806:9 | hashmap-insert | INVOKED | RiskGw::rate_check | rate_windows.set: bounded desk|symbol keys, key+packed refreshed per priced order attempt; slow leak: string anchor per set
fathom/apps/riskgw/main.hl:2907:9 | hashmap-insert | INVOKED | RiskGw::cap_add | cap_reserved: bounded keys but fresh key String per set; per order/fill/cancel; slow leak: string anchor per set
fathom/apps/riskgw/main.hl:2917:9 | hashmap-insert | INVOKED | RiskGw::gross_add | gross_reserved: bounded desk keys, fresh key String per order event; slow leak: string anchor per set
fathom/apps/riskgw/main.hl:2928:9 | hashmap-insert | INVOKED | RiskGw::open_cnt_add | open_counts: bounded desk keys, fresh key String per order event; slow leak: string anchor per set
fathom/apps/riskgw/main.hl:2948:9 | hashmap-insert | INVOKED | RiskGw::margin_add | margin_used: bounded keys, fresh key String per fill; slow leak: string anchor per set
fathom/apps/riskgw/main.hl:2958:9 | hashmap-insert | INVOKED | RiskGw::realized_add | realized_pnl.set: bounded keys, fresh key String per fill; slow leak: string anchor per set
fathom/apps/riskgw/main.hl:2975:9 | hashmap-insert | INVOKED | RiskGw::realcash_set | real_cash.set: bounded keys, fresh key String per balance tick; slow leak: string anchor per set
fathom/apps/riskgw/main.hl:3007:9 | hashmap-insert | INVOKED | RiskGw::position_apply | positions.set: fresh key+packed String anchored per fill (position fold); slow leak: string anchor per set
fathom/apps/riskgw/main.hl:3064:13 | hashmap-insert | INVOKED | RiskGw::on_fill | recent_terms: unbounded venue-txid keys, one per filled order, never evicted (120s window checked, never pruned)
fathom/apps/riskgw/main.hl:3075:9 | hashmap-insert | INVOKED | RiskGw::on_fill | open_orders tombstone: existing key, but fresh to_string(oid) key anchored per fill; slow leak: string anchor per set
fathom/apps/riskgw/main.hl:3093:9 | hashmap-insert | INVOKED | RiskGw::on_fill | fills_seen: unbounded venue_fill_id keys, one per fill, deliberately never removed (idempotency log)
fathom/apps/riskgw/main.hl:906:20 | struct DeskConfig | INVOKED | RiskGw::on_limit_set | self.cfg compound assign per limit.set: config-sized String clone anchored per admin edit; slow
fathom/apps/riskgw/main.hl:955:28 | struct DeskConfig | INVOKED | RiskGw::on_desk_create | self.cfg compound assign per desk.create: config-sized String clone anchored per admin edit; slow
fathom/apps/tapelag/main.hl:55:18 | struct tl::TapeEvent | INVOKED | TapeLag::on_tick | same ring-store anchor per buffered public tick — md-rate leak on a forever daemon (duration_s=0)
fathom/apps/tapelag/main.hl:68:18 | struct tl::TapeEvent | INVOKED | TapeLag::on_fill | TapeEvent (String symbol/side) stored into [TapeEvent;256] ring: compound-element store anchors fresh Strings per fill, old clones never freed
fathom/apps/theo/main.hl:741:9 | hashmap-insert | INVOKED | TheoCompute::on_book | tob.set: TobSlot.packed (incl. symbol + 20-field curve) refreshed per book msg; string anchor per set, md rate
pond/agent/embeddings/embeddings.hl:137:13 | vec-insert | LOOP | Store::add | flat.push adds dim floats per add(); long-lived Store, no cap; remove() only caller-optional balance — corpus growth unbounded (by design)
pond/jobs/pool.hl:194:16 | struct Job | INVOKED | Worker::__on_dequeue_err | sentinel `Job { }` returned into Worker::run's never-destroyed scratch every 25ms idle poll — daemon mode (max_jobs=0) accumulates forever
pond/tui/event.hl:100:40 | struct Event | LOOP | __utf8_char | "none" Event inside bounded UTF-8 loop (need≤3), but allocates in run() scratch (free fn) per malformed sequence
pond/tui/event.hl:105:12 | struct Event | INVOKED | __utf8_char | multibyte char Event with fresh cloned text String, run() scratch, per non-ASCII keypress
pond/tui/event.hl:119:36 | struct Event | INVOKED | __parse_escape | lone-ESC Event returned to run() scratch per esc keypress
pond/tui/event.hl:122:25 | struct Event | INVOKED | __parse_escape | double-ESC Event, same run()-scratch accumulation
pond/tui/event.hl:130:25 | struct Event | INVOKED | __parse_ss3 | SS3 arrow Event to run() scratch per keypress
pond/tui/event.hl:131:25 | struct Event | INVOKED | __parse_ss3 | same shape: SS3 Event, run() scratch
pond/tui/event.hl:132:25 | struct Event | INVOKED | __parse_ss3 | same shape: SS3 Event, run() scratch
pond/tui/event.hl:133:25 | struct Event | INVOKED | __parse_ss3 | same shape: SS3 Event, run() scratch
pond/tui/event.hl:134:25 | struct Event | INVOKED | __parse_ss3 | same shape: SS3 Event, run() scratch
pond/tui/event.hl:135:25 | struct Event | INVOKED | __parse_ss3 | same shape: SS3 Event, run() scratch
pond/tui/event.hl:136:25 | struct Event | INVOKED | __parse_ss3 | same shape: SS3 F-key Event, run() scratch
pond/tui/event.hl:137:25 | struct Event | INVOKED | __parse_ss3 | same shape: SS3 F-key Event, run() scratch
pond/tui/event.hl:138:25 | struct Event | INVOKED | __parse_ss3 | same shape: SS3 F-key Event, run() scratch
pond/tui/event.hl:139:25 | struct Event | INVOKED | __parse_ss3 | same shape: SS3 F-key Event, run() scratch
pond/tui/event.hl:140:12 | struct Event | INVOKED | __parse_ss3 | SS3 fallback "none" Event, run() scratch
pond/tui/event.hl:153:40 | struct Event | LOOP | __parse_csi | timeout "none" Event; CSI loop itself terminates, but alloc lands in run() scratch (free-fn, no reclaim) per occurrence
pond/tui/event.hl:167:12 | struct Event | INVOKED | __parse_csi | unreachable-ish post-loop "none" Event; same run()-scratch accumulation class when reached
pond/tui/event.hl:188:27 | struct Event | INVOKED | __finish_csi | Event returned via __finish_csi into Program::run's never-destroyed scratch; free-fn returns don't reclaim; per keypress forever
pond/tui/event.hl:189:27 | struct Event | INVOKED | __finish_csi | same shape: Event literal accumulates in run() scratch per arrow-key press
pond/tui/event.hl:190:27 | struct Event | INVOKED | __finish_csi | same shape: Event literal accumulates in run() scratch per keypress
pond/tui/event.hl:191:27 | struct Event | INVOKED | __finish_csi | same shape: Event literal accumulates in run() scratch per keypress
pond/tui/event.hl:192:27 | struct Event | INVOKED | __finish_csi | same shape: Event literal accumulates in run() scratch per keypress
pond/tui/event.hl:193:27 | struct Event | INVOKED | __finish_csi | same shape: Event literal accumulates in run() scratch per keypress
pond/tui/event.hl:194:27 | struct Event | INVOKED | __finish_csi | same shape: CSI-Z Event accumulates in run() scratch per keypress
pond/tui/event.hl:198:16 | struct Event | INVOKED | __finish_csi | tilde-key Event, same chain into run() scratch per keypress
pond/tui/event.hl:201:12 | struct Event | INVOKED | __finish_csi | fallback "none" Event, same chain into run() scratch per unrecognized CSI
pond/tui/event.hl:249:12 | struct Event | INVOKED | __mouse_event | mouse Event returned through __finish_csi to run() scratch; per mouse move/press — high rate with move tracking
pond/tui/event.hl:269:12 | struct Event | INVOKED | __parse_paste | paste Event with fresh cloned String payload in run() scratch; leaks whole paste per paste
pond/tui/event.hl:47:25 | struct Event | INVOKED | next_event | worst of the group: timeout "none" Event allocated EVERY frame (~30/s at default fps) in run() scratch, input or not
pond/tui/event.hl:48:25 | struct Event | INVOKED | next_event | eof Event, same run()-scratch class (rare: once, but same mechanism)
pond/tui/event.hl:56:36 | struct Event | INVOKED | __key_from_byte | __key_from_byte Event returned to run() loop scratch; accumulates per keypress for session life
pond/tui/event.hl:57:24 | struct Event | INVOKED | __key_from_byte | same shape: tab Event in run() scratch per keypress
pond/tui/event.hl:58:36 | struct Event | INVOKED | __key_from_byte | same shape: backspace Event in run() scratch per keypress
pond/tui/event.hl:59:25 | struct Event | INVOKED | __key_from_byte | same shape: esc Event in run() scratch per keypress
pond/tui/event.hl:61:16 | struct Event | INVOKED | __key_from_byte | ctrl-space Event (static text) in run() scratch per keypress
pond/tui/event.hl:67:16 | struct Event | INVOKED | __key_from_byte | ctrl-letter Event plus fresh __one_byte_text String in run() scratch per keypress
pond/tui/event.hl:70:24 | struct Event | INVOKED | __key_from_byte | "none" Event for control bytes, run() scratch, per byte
pond/tui/event.hl:72:16 | struct Event | INVOKED | __key_from_byte | ASCII char Event plus fresh text String in run() scratch per keypress
pond/tui/event.hl:92:16 | struct Event | INVOKED | __utf8_char | invalid-lead "none" Event in run() scratch per bad byte
pond/tui/program.hl:102:36 | struct Event | LOOP | Program::run | tick Event literal directly in run()'s while-loop body every frame; scratch never destroyed — the canonical precedent case
pond/websocket/client.hl:224:31 | struct WsError | INVOKED | WsClient::reparse_url | last_error subfields are runtime parts.error_kind/detail → anchor per set; repeats per dial only when url malformed under infinite auto-reconnect; slow, misconfig-gated
pond/websocket/client.hl:499:33 | struct WsMessage | INVOKED | WsClient::try_peel_one | last_message store: text/bytes are non-owning views, but kind carries runtime self.frag_kind String → anchor per message; millions/day on mdgw; slow leak, ~5 B/msg
pond/websocket/client.hl:806:27 | struct WsError | INVOKED | WsClient::handshake_fail | last_error store with runtime e.detail (concat from parse_response) → anchor per failed handshake; unbounded under reconnect flap; slow leak
pond/websocket/client.hl:811:27 | struct WsError | INVOKED | WsClient::framing_fail_hdr | last_error store with runtime e.detail subfield → arena anchor per set; per framing error, unbounded under broken-peer + reconnect; slow
pond/websocket/server.hl:276:45 | struct WsMessage | LOOP | WsServerConn::read_msg | last_message store: kind carries runtime self.frag_kind → anchor per fragmented message; per-conn arena freed only at dissolve, conn lifetime unbounded; slow
pond/websocket/server.hl:290:45 | struct WsMessage | LOOP | WsServerConn::read_msg | last_message store: kind is opcode_to_kind() runtime String → anchor per message over conn lifetime; capped only by conn dissolve; slow

== FALSE POSITIVES (299) by gap ==
-- GAP-BOUNDED-INPUT-LOOP (118) --
fathom/apps/arbwatch/main.hl:401:46 | struct DemandSlot | LOOP | DislocationCoord::on_sig_unsub_all | Local DemandSlot literal; loop over demand_keys (config-bounded legs); handler scratch reclaimed
fathom/apps/arbwatch/main.hl:549:49 | struct TobSlot | LOOP | DislocationCompute::scan | same shape as 613:49 — bounded venue walk in scan(), scratch-reclaimed per on_book dispatch
fathom/apps/arbwatch/main.hl:579:49 | struct TobSlot | LOOP | DislocationCompute::scan | same shape as 549:49, second pass of scan()
fathom/apps/arbwatch/main.hl:613:49 | struct TobSlot | LOOP | DislocationCompute::max_fresh_wire | `or TobSlot{}` default; loop over dedup'd venues_seen (bounded venue set); handler-scratch reclaimed at dispatch exit
fathom/apps/arbwatch/main.hl:631:31 | struct VenueCursor | INVOKED | DislocationCompute::venue_cursor_at | Local VenueCursor return; consumed inside bounded venue loop within on_book handler scratch, reclaimed per dispatch
fathom/apps/arbwatch/main.hl:633:28 | struct VenueCursor | INVOKED | DislocationCompute::venue_cursor_at | same VenueCursor return shape
fathom/apps/arbwatch/main.hl:635:16 | struct VenueCursor | INVOKED | DislocationCompute::venue_cursor_at | same VenueCursor return shape
fathom/apps/dashboard/main.hl:1338:46 | struct VenueBalSlot | LOOP | SubscriberSink::venue_bal_json | `or VenueBalSlot{}`; venue|asset walk, per-request scratch
fathom/apps/dashboard/main.hl:1368:49 | struct ReconReportSlot | LOOP | SubscriberSink::recon_report_json | `or ReconReportSlot{}`; per-venue table walk, per-request scratch
fathom/apps/dashboard/main.hl:1426:49 | struct StratFleetSlot | LOOP | SubscriberSink::probes_json | `or StratFleetSlot{}`; stratfleet walk (bounded strategy ids), per-request scratch
fathom/apps/dashboard/main.hl:1445:46 | struct ProbeSigSlot | LOOP | SubscriberSink::probes_json | `or ProbeSigSlot{}`; probesigs walk (bounded market|side|depth fleet), per-request scratch
fathom/apps/dashboard/main.hl:1473:45 | struct DeskBalSlot | LOOP | SubscriberSink::collect_desk_ids | `or DeskBalSlot{}`; bounded desk|venue|asset table walk in per-request handler scratch
fathom/apps/dashboard/main.hl:1481:45 | struct DeskLimSlot | LOOP | SubscriberSink::collect_desk_ids | same shape, desklims walk
fathom/apps/dashboard/main.hl:1489:44 | struct DeskPosSlot | LOOP | SubscriberSink::collect_desk_ids | same shape, deskpos walk
fathom/apps/dashboard/main.hl:1515:45 | struct DeskBalSlot | LOOP | SubscriberSink::one_desk_json | `or DeskBalSlot{}`; bounded table walk, per-request handler scratch
fathom/apps/dashboard/main.hl:1541:45 | struct DeskLimSlot | LOOP | SubscriberSink::one_desk_json | same shape, desklims walk
fathom/apps/dashboard/main.hl:1559:44 | struct DeskPosSlot | LOOP | SubscriberSink::one_desk_json | same shape, deskpos walk
fathom/apps/dashboard/main.hl:471:41 | struct HeartbeatRow | LOOP | SubscriberSink::topology_json | same shape, topology walk
fathom/apps/dashboard/main.hl:497:41 | struct HeartbeatRow | LOOP | SubscriberSink::actives_json | `or HeartbeatRow{}` in walk over apps table (bounded fleet); called from StaticHandler.handle per-request scratch
fathom/apps/dashboard/main.hl:537:41 | struct HeartbeatRow | LOOP | SubscriberSink::sig_actives_json | `or HeartbeatRow{}`; bounded apps walk, per-request scratch
fathom/apps/dashboard/main.hl:748:45 | struct VenueWireSlot | LOOP | SubscriberSink::wire_skew_json | `or VenueWireSlot{}`; per-venue walk, per-request scratch
fathom/apps/exgw/kraken-reconcile/main.hl:160:17 | hashmap-insert | LOOP | KrakenReconcile::load_pairs | load_pairs runs ONCE from run() (verified line 347); bounded by one AssetPairs response
fathom/apps/exgw/kraken-reconcile/main.hl:160:32 | struct PairSlot | LOOP | KrakenReconcile::load_pairs | Local PairSlot literal in the one-shot load
fathom/apps/exgw/kraken-reconcile/main.hl:163:21 | hashmap-insert | LOOP | KrakenReconcile::load_pairs | altname insert, same one-shot load
fathom/apps/exgw/kraken-reconcile/main.hl:163:36 | struct PairSlot | LOOP | KrakenReconcile::load_pairs | Local PairSlot literal, same one-shot load
fathom/apps/exgw/kraken/main.hl:203:13 | hashmap-insert | LOOP | KrakenExecGw::load_precision | load_precision runs ONCE from run() startup; population bounded by one AssetPairs response
fathom/apps/exgw/kraken/main.hl:203:28 | struct PairPrec | LOOP | KrakenExecGw::load_precision | Local PairPrec literal in the same one-shot load; method scratch reclaimed
fathom/apps/exgw/kraken/main.hl:206:17 | hashmap-insert | LOOP | KrakenExecGw::load_precision | altname-key insert, same one-shot bounded load
fathom/apps/exgw/kraken/main.hl:206:32 | struct PairPrec | LOOP | KrakenExecGw::load_precision | Local PairPrec literal, same one-shot load
fathom/apps/exgw/kraken/main.hl:294:35 | struct d::CancelRequest | LOOP | KrakenExecGw::on_cancel_batch | Local CancelRequest per token of ONE CancelBatch message; bus-published + handler scratch reclaimed
fathom/apps/ledger/main.hl:576:34 | hashmap-insert | LOOP | Ledger::rehydrate_book | rehydrate_book: one-shot boot load, bounded by ledger_balance snapshot; method scratch
fathom/apps/ledger/main.hl:576:48 | struct BalSlot | LOOP | Ledger::rehydrate_book | Local BalSlot literal in the same one-shot boot load
fathom/apps/priceview/main.hl:913:46 | struct DemandSlot | LOOP | PvDemand::on_sig_unsub_all | loop bounded by demand_keys snapshot; DemandSlot literal is handler-scratch local; the leak belongs to the sibling insert warning
fathom/apps/prober/main.hl:686:35 | struct pb::ProbeState | LOOP | Prober::on_strategy_state | adopt loop bounded by one state.response's orders_packed; all-scalar ProbeState in handler scratch, reclaimed at exit
fathom/apps/riskgw/main.hl:2099:56 | struct VenueOrderSlot | LOOP | RiskGw::on_trade_recon_orders | VenueOrderSlot default literal per snapshot row; handler scratch, reclaimed at exit
fathom/apps/riskgw/main.hl:2100:30 | struct OpenOrderSlot | LOOP | RiskGw::on_trade_recon_orders | OpenOrderSlot literal per snapshot row; handler scratch, reclaimed at exit
fathom/apps/riskgw/main.hl:2101:81 | struct OpenOrderSlot | LOOP | RiskGw::on_trade_recon_orders | OpenOrderSlot default literal per snapshot row; handler scratch, reclaimed at exit
fathom/apps/riskgw/main.hl:2310:36 | struct VenueBalSlot | LOOP | RiskGw::on_trade_recon_balances | VenueBalSlot literal in loop over one message's rows; handler scratch reclaims (growth charged to paired insert)
fathom/apps/riskgw/main.hl:2352:43 | struct CapSlot | LOOP | RiskGw::recompute_reserves | CapSlot literal; walk over config-bounded cap keys, method scratch reclaims
fathom/apps/riskgw/main.hl:2369:45 | struct GrossSlot | LOOP | RiskGw::recompute_reserves | GrossSlot literal; config-bounded desk-key walk, method scratch reclaims
fathom/apps/riskgw/main.hl:2863:24 | struct GreaseEp | LOOP | RiskGw::grease_for | GreaseEp built over config/grease walk; returned into handler scratch, reclaimed at handler exit
fathom/apps/riskgw/main.hl:3236:12 | struct AllocRec | INVOKED | alloc_split | alloc_split result local to caller-method scratch; config-bounded record walk
fathom/apps/riskgw/main.hl:3256:12 | struct LimitRec | INVOKED | limit_split | limit_split result local to caller-method scratch; config-bounded
fathom/apps/riskgw/main.hl:3282:12 | struct DeskRec | INVOKED | desk_split | desk_split result local to caller-method scratch; config-bounded
fathom/apps/riskgw/main.hl:3384:30 | struct AllocIter | INVOKED | __astep | free-fn AllocIter lands in calling method/handler scratch; config-record walk; reclaimed at method exit
fathom/apps/riskgw/main.hl:3387:24 | struct AllocIter | INVOKED | __astep | same __astep shape; caller-method scratch reclaims; only pre-loop run() calls are one-shot
fathom/apps/riskgw/main.hl:3388:12 | struct AllocIter | INVOKED | __astep | same __astep shape; scratch-reclaimed per caller method call
fathom/apps/spectrum/main.hl:369:46 | struct DemandSlot | LOOP | SpectrumCoord::on_sig_unsub_all | Local DemandSlot literal; loop over config-bounded demand_keys; handler scratch reclaimed
fathom/apps/theo/main.hl:1123:49 | struct TobSlot | LOOP | TheoCompute::max_fresh_wire | `or TobSlot{}` in max_fresh_wire's bounded venue walk; handler scratch
fathom/apps/theo/main.hl:1141:31 | struct VenueCursor | INVOKED | TheoCompute::venue_cursor_at | Local VenueCursor return in bounded venue iteration; handler scratch reclaimed
fathom/apps/theo/main.hl:1143:28 | struct VenueCursor | INVOKED | TheoCompute::venue_cursor_at | same VenueCursor shape
fathom/apps/theo/main.hl:1145:16 | struct VenueCursor | INVOKED | TheoCompute::venue_cursor_at | same VenueCursor shape
fathom/apps/theo/main.hl:596:46 | struct DemandSlot | LOOP | TheoCoord::on_sig_unsub_all | Local DemandSlot literal; bounded demand_keys walk; handler scratch reclaimed
fathom/apps/theo/main.hl:811:49 | struct TobSlot | LOOP | TheoCompute::consolidate | `or TobSlot{}` in consolidate's bounded venue walk; on_book handler scratch reclaimed
fathom/lib/config/load.hl:109:38 | struct ConfigError | LOOP | load_venue | same shape: fail-and-exit literal, one-shot startup config parse
fathom/lib/config/load.hl:121:34 | struct ConfigError | LOOP | load_venue | same shape: fail-and-exit literal (unknown_verb), one-shot startup config parse
fathom/lib/config/load.hl:163:10 | struct ConfigError | INVOKED | __raise_bad_int | fail path: ≤1 ConfigError per load_venue call; called once at mdgw run() start; failure raises, process exits
fathom/lib/config/load.hl:65:38 | struct ConfigError | LOOP | load_venue | fail exits fn: ≤1 alloc per parse; loop bounded by config file; invoked once at startup
fathom/lib/config/load.hl:74:38 | struct ConfigError | LOOP | load_venue | same shape: fail-and-exit literal, one-shot startup config parse
fathom/lib/config/load.hl:84:38 | struct ConfigError | LOOP | load_venue | same shape: fail-and-exit literal, one-shot startup config parse
fathom/lib/config/load.hl:94:38 | struct ConfigError | LOOP | load_venue | same shape: fail-and-exit literal, one-shot startup config parse
fathom/lib/mdgw/mdgw.hl:256:25 | struct d::VenueSubscription | LOOP | sink_unsub_all | Local VenueSubscription per live sub in on_unsub_all bus-handler scratch; loop bounded by submgr.len(); reclaimed at handler exit
fathom/lib/probe/probe.hl:53:26 | struct __Level | INVOKED | __next_level | all-scalar __Level per level of one pipe-encoded L2 string; callers: smoke one-shots + prober method scratch
fathom/lib/probe/probe.hl:58:27 | struct __Level | INVOKED | __next_level | same __next_level shape; Local all-scalar, input-bounded parse loop
fathom/lib/probe/probe.hl:61:12 | struct __Level | INVOKED | __next_level | same __next_level shape; Local all-scalar, input-bounded parse loop
fathom/lib/refdata/pgstore/pgstore.hl:474:12 | struct rd::Asset | INVOKED | __row_to_asset | rows of one query; load_all called once from refstore birth (+one-shot smoke); catalog population bounded by table
fathom/lib/refdata/pgstore/pgstore.hl:486:12 | struct rd::Venue | INVOKED | __row_to_venue | clone: one-time birth catalog load, row-bounded
fathom/lib/refdata/pgstore/pgstore.hl:505:12 | struct rd::ContractType | INVOKED | __row_to_contract_type | clone: one-time birth catalog load, row-bounded
fathom/lib/refdata/pgstore/pgstore.hl:512:12 | struct rd::Contract | INVOKED | __row_to_contract | clone: one-time birth catalog load, row-bounded
fathom/lib/trade-libs/backtest/backtest.hl:279:29 | struct decf::DecimalFloat | LOOP | Backtester::_replay | per-row DecimalFloat{} in _replay METHOD scratch (not run), bounded by feed rows, reclaimed at exit; backtest one-shot
fathom/lib/venues/binance/refdata/parse.hl:50:26 | struct BinanceRefdataParseError | INVOKED | parse_symbol_object | fail exits fn: ≤1 error per element, caught by or-sentinel; method scratch reclaims per scrape call
